"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_Default.M_Default","0","184","216","11","283.857361","17","216"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","110","120","6","0.000000","0","120"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","3","3","1","0.000000","3","9"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","132","154","7","27.447365","0","154"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","56","56","3","185.229385","0","56"
"/Game/Clinic/Materials/M_Default_Master.M_Default_Master","0","18","18","3","23.600603","0","18"
"/Game/Movies/M_Video.M_Video","0","12","12","1","4.903197","0","12"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","110","120","6","0.000000","0","120"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","0.000000","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","0.000000","0","32"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","40.695896","0","50"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","2.169209","0","2"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","90","100","6","0.000000","0","100"
"/Game/Models/Machine/frontpanel.frontpanel","0","3","3","1","3.176006","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","0.000000","0","42"
"/Game/Models/Environment/M_Sand2.M_Sand2","0","3","3","1","6.904238","0","3"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","0.000000","0","63"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","5","5","1","4.374123","0","5"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","2.642728","0","25"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","0.000000","0","9"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","0","2","2","1","3.005463","0","2"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","90","90","1","9.717037","0","90"
"/Game/Clinic/Materials/M_Screen.M_Screen","0","3","3","1","3.607018","0","3"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","2.354461","0","2"
"/Game/Models/Animals/Shark/Baked.Baked","0","3","3","1","3.048233","0","3"
"/Game/Models/Animals/Rabbit/ribbit.ribbit","0","3","3","1","3.715748","0","3"
"/Game/Models/Animals/piggo/piggo.piggo","0","3","3","1","0.000000","0","3"
"/Game/Models/Animals/Elephant/Baked_Elephant.Baked_Elephant","0","3","3","1","4.470950","0","3"
"/Game/Models/Animals/birds/??.??","0","3","3","1","0.000000","0","3"
"/Game/AdvancedGlassPack/Materials/01_Clean/M_Glass_CleanMaster.M_Glass_CleanMaster","0","22","22","2","178.226746","0","22"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","4.149541","0","5"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","6.508434","0","9"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","10","10","2","9.063293","0","10"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","0","5","5","1","4.526166","0","5"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","0","5","5","1","3.822586","0","5"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","14","14","1","10.065072","0","14"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","7.975825","0","6"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","13.609119","0","9"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","9.209773","0","6"
"/Game/Survival_Character/Materials/Master_Materials/MM_Survival_Character_Jeans.MM_Survival_Character_Jeans","0","18","21","1","34.536259","0","21"
"/Game/Clinic/Materials/M_Lights.M_Lights","0","3","3","1","3.297483","0","3"
"/Game/Whisper/Materials/Mat_Whisper_Body.Mat_Whisper_Body","0","6","6","1","9.157024","0","6"
"/Game/TA_CorpsesPackSample/Meshes/M_TA_Corpses_Sample.M_TA_Corpses_Sample","0","3","3","1","2.699308","0","3"
"/Game/Models/EntranceAndGate/Right_Door_Baked.Right_Door_Baked","0","3","3","1","0.875877","0","3"
"/Game/Models/EntranceAndGate/Left_Door_Bake.Left_Door_Bake","0","3","3","1","2.689569","0","3"
"/Game/Models/EntranceAndGate/concrete_layered.concrete_layered","0","3","3","1","4.097460","0","3"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","31","31","1","18.893299","0","31"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","6","1","7.879570","0","6"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","2.771383","0","2"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","57","63","1","0.000000","0","63"
